          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
          Предмет Номер парты  Ряд   Вид парты ID
0     Информатика           1    I   Одиночная  1
1  общая хирургия           2   II     двойная  2
2    Пропедевтика           3  III  одиночная   3
3    Дерматология           4   IV    Двойная   4
4       Биофизика           5    V   Одиночная  5
